iter	MAE
0	1036093.529
1	1005614.557
2	976444.9571
3	949024.1577
4	924365.9231
5	902097.426
6	881920.3589
7	860546.2747
8	834622.9074
9	813674.963
10	793225.0853
11	775781.585
12	755345.1606
13	739777.2818
14	727947.1287
15	711770.8242
16	699869.7318
17	686463.7584
18	677009.4705
19	663883.2617
20	652752.1923
21	643054.876
22	630309.6777
23	619923.0715
24	611366.3387
25	602868.1469
26	596431.0448
27	589061.7662
28	580781.2908
29	572321.9658
30	564757.007
31	557681.6814
32	552363.9232
33	547830.6335
34	541303.8961
35	534522.0484
36	529832.6816
37	523172.2122
38	517746.5989
39	513561.8633
40	508477.2905
41	505416.9163
42	501479.0631
43	498767.9559
44	494464.1419
45	491267.98
46	487963.1274
47	484126.4204
48	478630.4042
49	474913.2534
50	472117.8894
51	470202.6536
52	467935.8685
53	464274.29
54	461280.6523
55	456884.8697
56	454445.9965
57	452838.7535
58	450613.7733
59	448728.2568
60	445908.2028
61	442855.9045
62	441125.4288
63	438921.6975
64	435658.4837
65	432980.8797
66	431692.2944
67	429507.8935
68	426454.1098
69	424319.2008
70	421591.6839
71	419674.0862
72	418081.9932
73	415884.6722
74	413537.6986
75	412343.6619
76	409991.1362
77	407726.3322
78	406321.1734
79	404546.3969
80	402913.6773
81	401298.0406
82	399284.8723
83	398386.8158
84	397243.229
85	395244.1227
86	394069.1587
87	393180.7027
88	391602.3565
89	390223.4045
90	388566.0652
91	386644.5894
92	384993.691
93	383610.5395
94	382419.106
95	381337.886
96	380124.0247
97	379332.3511
98	378738.0417
99	377802.7328
100	376753.6917
101	375664.4779
102	374916.225
103	374260.5477
104	373164.4731
105	372605.567
106	371739.513
107	371275.1865
108	370483.9241
109	369679.6534
110	368847.1161
111	367978.6338
112	367575.4719
113	366938.1341
114	365976.7458
115	365626.6006
116	364582.0994
117	363817.7007
118	362824.4453
119	361723.2079
120	360277.1499
121	359069.5493
122	358371.3789
123	357426.0605
124	356669.7322
125	355423.2575
126	354701.1994
127	353797.8958
128	352825.3613
129	352227.0441
130	351281.6844
131	350814.256
132	350179.0484
133	349622.3132
134	349043.3765
135	348761.5034
136	348240.5703
137	347321.8889
138	346622.405
139	345967.7178
140	345150.9517
141	344177.4605
142	343772.5737
143	343279.7471
144	342524.6425
145	342258.0456
146	341846.218
147	341421.064
148	340863.7442
149	340389.1992
150	339680.9589
151	339184.7714
152	338372.4425
153	337134.1586
154	336679.6176
155	336223.1128
156	335442.9733
157	334953.5125
158	334388.6264
159	333776.1689
160	333082.5534
161	332662.7041
162	332297.4631
163	331920.0907
164	331545.8823
165	331139.0671
166	330124.7383
167	329717.3547
168	328990.9058
169	328418.9679
170	327998.6301
171	327083.4518
172	326206.0657
173	325630.8974
174	325173.2035
175	324586.6775
176	323662.3225
177	322962.5707
178	322199.6502
179	321378.2387
180	320969.2004
181	320502.4152
