iter	Passed	Remaining
0	3	557
1	5	516
2	8	497
3	11	491
4	13	474
5	15	461
6	18	450
7	20	441
8	22	432
9	24	426
10	27	420
11	29	414
12	31	409
13	33	406
14	36	402
15	38	397
16	40	394
17	42	391
18	45	386
19	47	383
20	49	380
21	51	378
22	54	375
23	56	372
24	59	370
25	61	367
26	63	364
27	65	361
28	67	358
29	70	356
30	72	354
31	74	351
32	77	348
33	79	347
34	82	345
35	84	344
36	87	341
37	89	338
38	91	335
39	93	332
40	95	329
41	98	326
42	100	323
43	102	320
44	104	318
45	106	315
46	108	312
47	111	309
48	113	307
49	115	304
50	117	302
51	119	299
52	121	296
53	124	293
54	126	291
55	128	288
56	130	286
57	132	283
58	134	281
59	136	278
60	139	276
61	141	273
62	143	271
63	145	268
64	147	266
65	150	263
66	152	261
67	154	258
68	156	256
69	159	254
70	161	251
71	163	249
72	165	246
73	167	244
74	169	242
75	172	239
76	174	237
77	176	235
78	178	233
79	180	230
80	182	228
81	185	225
82	187	223
83	189	221
84	191	218
85	193	216
86	196	214
87	198	212
88	200	209
89	202	207
90	205	205
91	207	202
92	209	200
93	211	198
94	213	195
95	215	193
96	218	191
97	220	188
98	222	186
99	224	184
100	226	181
101	228	179
102	231	177
103	233	174
104	235	172
105	237	170
106	239	167
107	241	165
108	243	163
109	246	161
110	248	158
111	250	156
112	252	154
113	254	151
114	256	149
115	259	147
116	261	145
117	263	142
118	265	140
119	267	138
120	270	136
121	272	133
122	274	131
123	276	129
124	278	127
125	281	124
126	283	122
127	285	120
128	288	118
129	290	116
130	292	113
131	294	111
132	296	109
133	299	107
134	301	104
135	303	102
136	305	100
137	307	98
138	309	95
139	311	93
140	314	91
141	315	89
142	318	86
143	320	84
144	322	82
145	324	80
146	327	77
147	329	75
148	331	73
149	334	71
150	336	69
151	339	66
152	341	64
153	343	62
154	345	60
155	347	57
156	349	55
157	352	53
158	354	51
159	357	49
160	359	46
161	362	44
162	364	42
163	367	40
164	370	38
165	372	35
166	374	33
167	376	31
168	379	29
169	381	26
170	383	24
171	385	22
172	387	20
173	389	17
174	392	15
175	394	13
176	396	11
177	398	8
178	400	6
179	402	4
180	405	2
181	407	0
